"Frequency [Hz]","Pist 10s again 2 [dBZ SPL]"
0,103.126
0.1,97.098
0.2,51.81
0.3,41.092
0.4,42.918
0.5,41.646
0.6,41.122
0.7,43.007
0.8,40.722
0.9,41.767
1,38.663
1.1,41.774
1.2,39.552
1.3,42.458
1.4,37.08
1.5,44.497
1.6,37.777
1.7,45.421
1.8,37.887
1.9,46.297
2,38.763
2.1,46.628
2.2,44.494
2.3,44.503
2.4,45.737
2.5,45.27
2.6,44.819
2.7,44.692
2.8,43.603
2.9,41.267
3,41.753
3.1,39.228
3.2,38.594
3.3,36.195
3.4,36.039
3.5,33.253
3.6,31.21
3.7,27.922
3.8,25.922
3.9,22.761
4,21.925
4.1,23.704
4.2,14.683
4.3,17.506
4.4,15.817
4.5,20.88
4.6,15.346
4.7,19.481
4.8,21.357
4.9,10.648